NameOfArt,PicturePath,TrueArt,False1Art,False2Art
Адам и Ева. Потерянный Рай,images\Адам и Ева. Потерянный Рай.jpg,ПОПОВ Павел,ШМАРИН Дмитрий,СВЕТОСЛАВСКИЙ Сергей
Богатыри ,images\Богатыри .jpg,ВАСНЕЦОВ Виктор,САВРАСОВ Алексей,ЛЕВИТАН Исаак
Русская Венера,images\Русская Венера.jpg,КУСТОДИЕВ Борис,КЛЕВЕР Юлий,ЛЕВИЦКИЙ Дмитрий
Грачи прилетели,images\Грачи прилетели.jpg,САВРАСОВ Алексей,РОКОТОВ Фёдор,МАКОВСКИЙ Константин
Утро в сосновом лесу,images\Утро в сосновом лесу.jpg,ШИШКИН Иван,КАМЕНЕВ Валериан,ТРУТОВСКИЙ Константин
Алёнушка,images\Алёнушка.jpg,ВАСНЕЦОВ Виктор,ОЛЬШАНСКИЙ Борис,АНТРОПОВ Алексей
Над вечным покоем,images\Над вечным покоем.jpg,ЛЕВИТАН Исаак,ДМИТРИЕВ-ОРЕНБУРГСКИЙ Николай,ВАСНЕЦОВ Аполлинарий
Девочка с персиками,images\Девочка с персиками.jpg,СЕРОВ Валентин,ЖУРАВЛЁВ Фирс,ВОРОБЬЕВ Максим
Девушка в платке,images\Девушка в платке.jpg,ВЕНЕЦИАНОВ Алексей,КАМЕНЕВ Лев,КРЫЖИЦКИЙ Константин
Девушка в костюме Флоры,images\Девушка в костюме Флоры.jpg,МАКОВСКИЙ Константин,ДУБОВСКОЙ Николай,ЛЕБЕДЕВ Клавдий
Адам и Ева. Грехопадение,images\Адам и Ева. Грехопадение.jpg,ПОПОВ Павел,РЕПИН Илья,РЕМНЁВ Андрей
Девятый вал,images\Девятый вал.jpg,АЙВАЗОВСКИЙ Иван,БРОННИКОВ Фёдор,КИСЕЛЕВ Александр
Золотая осень,images\Золотая осень.jpg,ПОЛЕНОВ Василий,ГРИБКОВ Сергей,КУСТОДИЕВ Борис
Охотники на привале,images\Охотники на привале.jpg,ПЕРОВ Василий,НИКИТИН Иван,МАКАРОВ Иван
Закат солнца зимой,images\Закат солнца зимой.jpg,КЛЕВЕР Юлий,ВЕРЕЩАГИН Василий,АЙВАЗОВСКИЙ Иван
Варька,images\Варька.jpg,ЛЕМОХ Карл,ВЕРЕЩАГИН Василий,АЙВАЗОВСКИЙ Иван
Портрет Марии Ивановны Ло…,images\Портрет Марии Ивановны Ло….jpg,БОРОВИКОВСКИЙ Владимир,ИВАНОВ Сергей,НЕСТЕРОВ Михаил
Золотая осень,images\Золотая осень.jpg,ЛЕВИТАН Исаак,ЭГГИНК Иван,РУБО Франц
Бурлаки на Волге,images\Бурлаки на Волге.jpg,РЕПИН Илья,БРЮЛЛОВ Карл,ЛИССНЕР Эрнст
"Сусанна, застигнутая старцами в купал…","images\Сусанна, застигнутая старцами в купал….jpg",БАСИН Пётр,ВЕНЕЦИАНОВ Алексей,АЙВАЗОВСКИЙ Иван
"Дети, бегущие от грозы","images\Дети, бегущие от грозы.jpg",МАКОВСКИЙ Константин,ВЕРЕЩАГИН Василий,ВАСНЕЦОВ Аполлинарий
«На севере диком…»,images\«На севере диком…».jpg,ШИШКИН Иван,КРЫЛОВ Никифор,ГОРБАТОВ Константин
Портрет Елены Александров…,images\Портрет Елены Александров….jpg,БОРОВИКОВСКИЙ Владимир,"РУБО, Франц",КЛОДТ Михаил
Красавица. 1915,images\Красавица. 1915.jpg,КУСТОДИЕВ Борис,БОГОЛЮБОВ Алексей,КРЫЖИЦКИЙ Константин
Всадница. 1832,images\Всадница. 1832.jpg,БРЮЛЛОВ Карл,БОГОЛЮБОВ Алексей,КУЛИКОВ Иван
Дорога во ржи,images\Дорога во ржи.jpg,ШИШКИН Иван,ГОЛОВИН Александр,ПИМОНЕНКО Николай
Лето,images\Лето.jpg,ЛЕВИТАН Исаак,МАКОВСКИЙ Константин,СЕМИРАДСКИЙ Генрих
Цветы и плоды ГТГ,images\Цветы и плоды ГТГ.jpg,Хруцкий Иван,ТОНЧИ Сальватор,МАКСИМОВ Василий
Вирсавия,images\Вирсавия.jpg,БРЮЛЛОВ Карл,БОРОВИКОВСКИЙ Владимир,ШИШКИН Иван
Спящая царевна,images\Спящая царевна.jpg,ВАСНЕЦОВ Виктор,ГЕРМАШЕВ Михаил,АЙВАЗОВСКИЙ Иван
Корабельная роща,images\Корабельная роща.jpg,ШИШКИН Иван,КИПРЕНСКИЙ Орест,МАКСИМОВ Алексей
Девушка с горшком роз. 1850,images\Девушка с горшком роз. 1850.jpg,ТРОПИНИН Василий,ВАСИЛЬКОВСКИЙ Сергей,ШИЛЬДЕР Андрей
Олечка,images\Олечка.jpg,ГЛАЗУНОВ Иван,СЕРГЕЕВ Николай,КОРЗУХИН Алексей
Боярышня,images\Боярышня.jpg,МАКОВСКИЙ Константин,МИЛОРАДОВИЧ Сергей,СЕМИРАДСКИЙ Генрих
Садко,images\Садко.jpg,РЕПИН Илья,МАКОВСКИЙ Константин,ТРОПИНИН Василий
Итальянский полдень,images\Итальянский полдень.jpg,БРЮЛЛОВ Карл,ПИМОНЕНКО Николай,КЛОДТ Михаил
Апофеоз войны,images\Апофеоз войны.jpg,ВЕРЕЩАГИН Василий,РОСЛИН Александр,ЛЕВИЦКИЙ Дмитрий
Закат,images\Закат.jpg,РЫЛОВ Аркадий,ГРУЗИНСКИЙ Пётр,МАТВЕЕВ Николай
Девочка с гусями,images\Девочка с гусями.jpg,МАКОВСКИЙ Владимир,МЯСОЕДОВ Григорий,ШИШКИН Иван
«Русский реквием»,images\«Русский реквием».jpg,ОЛЬШАНСКИЙ Борис,ВРУБЕЛЬ Михаил,АЙВАЗОВСКИЙ Иван
Ковёр-самолёт,images\Ковёр-самолёт.jpg,ВАСНЕЦОВ Виктор,ДУБОВСКОЙ Николай,МОНЬЕ Жан Лоран
Святочное гадание,images\Святочное гадание.jpg,ПИМОНЕНКО Николай,КУИНДЖИ Архип,ШИШКИН Иван
За чаем,images\За чаем.jpg,МАКОВСКИЙ Константин,МАКОВСКИЙ Константин,МЕЩЕРСКИЙ Арсений
"Бриг «Меркурий», атакованный дв…","images\Бриг «Меркурий», атакованный дв….jpg",АЙВАЗОВСКИЙ Иван,МАТОРИН Виктор,КЛЕВЕР Юлий
Боярыня Морозова,images\Боярыня Морозова.jpg,СУРИКОВ Василий,ЛЕБЕДЕВ Клавдий,ЛАГОРИО Лев
Берегиня,images\Берегиня.jpg,ОЛЬШАНСКИЙ Борис,МАКОВСКИЙ Константин,НЕФФ Тимофей
